,series_title,primary_work_count,series_work_count,series_description,link
976,Vanessa Michael Munroe,5,6,"Vanessa Michael Munroe, the daughter of American missionaries in Africa, now working in Texas researching developing countries for corporations:",https://www.goodreads.com/series/64113-vanessa-michael-munroe
977,A Camilla MacPhee Mystery,6,6,"Camilla MacPhee, who runs an advocacy agency for victims of violent crime, in Ottawa, Ontario, Canada:",https://www.goodreads.com/series/40455-camilla-macphee
978,Pineapple Port Mysteries,5,6,"The Pineapple Port romantic comedy mystery series is about a girl named Charlotte who grew up in a Florida retirement community... fun, love and mystery ensues! The book will appeal to young and old, as the main characters are the hotties falling in love, but the rest of the cast are her neighbors and surrogate mothers in the 55+ community.",https://www.goodreads.com/series/151340-pineapple-port-mysteries
979,DC Smith,7,7,Series featuring Sgt D.C. Smith a British Police Detective.,https://www.goodreads.com/series/161291-dc-smith
980,Alec Milius,2,2,"In Charles Cumming's suspense thriller series, Alec Milius, a recent graduate of the London School of Economics, is young and smart, but stuck in a shady job and suffering from a lack of direction. So, when an old family friend offers to put him up for a job in British Intelligence, Alec begins the rigorous selection process for SIS or MI6. He doesn't make the cut, but he gets hired as a spy for a British oil company, and begins his journey into the murky world of industrial espionage. Milius finds himself trapped in a life of secrets and lies, manipulated by MI6 and the CIA, and confronted by the reality of a ruthless business environment in which priceless information can come at the cost of human life. http://us.macmillan.com/series/AlecMilius",https://www.goodreads.com/series/76309-alec-milius
981,Max Wolfe,4,6,Crime series featuring Detective Max Wolfe from the homicide division of London's West End.,https://www.goodreads.com/series/123035-max-wolfe
982,The Sorrowful Mysteries of Brother Athelstan,18,20,"Brother Athelstan, a Dominican monk, and John Cranston, a coroner, in 14th century London, England:",https://www.goodreads.com/series/41412-the-sorrowful-mysteries-of-brother-athelstan
983,The Flesh Cartel,19,24,"Sublime service, made to order.The Flesh Cartel: an international, multi-billion-dollar black market that trades in lost souls. Or more specifically, their bodies. Highly organized and frighteningly efficient, the Flesh Cartel could teach even the KGB a thing or two about breaking a human mind. Fortunately for their ultra-rich clients, they're just as skilled at putting people back together again--as perfect pets, well-trained and eager to please. No matter what your secret tastes or dark desires, the Flesh Cartel--for the right price, of course--will hand-design the plaything of your dreams.",https://www.goodreads.com/series/86427-the-flesh-cartel
984,DCI Andrew Fenwick,5,6,"Andrew Fenwick, a Detective Chief Inspector in Sussex, England:",https://www.goodreads.com/series/44746-dci-andrew-fenwick
985,Mac Fontana,5,5,"Mac Fontana is an ex-firefighter and arson investigator in (fictional) Staircase, Washington.",https://www.goodreads.com/series/51416-mac-fontana
986,Nick Stone,19,19,"Nick Stone, an SAS (special forces) agent, for England:",https://www.goodreads.com/series/59246-nick-stone
987,Francis Hancock,4,4,"Francis Hancock, an undertaker in 1940s London, England:",https://www.goodreads.com/series/78656-francis-hancock
988,Noah Braddock,4,4,"Noah Braddock, a surfer and private investigator, in San Diego, California:",https://www.goodreads.com/series/65553-noah-braddock
989,The Liturgical Mystery,13,13,Li-tur-gi-cal mys-te-ry n. 1. A religious truth that is incomprehensible to reason and knowable only through divine revelation. 2. Any one of a series of absurd novels featuring choir-director/detective Hayden Konig.,https://www.goodreads.com/series/62797-the-liturgical-mystery
990,A Cotten Stone Mystery,4,4,"Cotten Stone, a television journalist on assignment for SNN (Satellite News Network) reporting on apocalyptic events:",https://www.goodreads.com/series/60205-a-cotten-stone-mystery
991,High Country Mystery,7,8,Wyoming sheriff Jeff McQuede draws wisdom from his famous Old West namesake as he solves crimes in modern-day Wyoming.,https://www.goodreads.com/series/112914-high-country-mystery
992,Gil Cunningham,11,11,"Gil Cunningham, a notary in 15th century Glasgow, Scotland:",https://www.goodreads.com/series/43665-gil-cunningham
993,Raine Stockton Dog Mystery,12,13,"Raine Stockton is just a small town girl from the mountains of North Carolina with money problems,men problems, and dog problems. She does the best she can to balance her full-time boarding kennel and dog-training business, her part time forest-service job, and her volunteer therapy dog and wilderness search-and-rescue work while trying to keep her mischeivous Golden Retriever, Cisco-- not to mention the rest of her canine crew-- under control. It would be a lot easier if she didn't keep getting distracted by murder...",https://www.goodreads.com/series/41664-raine-stockton-dog-mystery
994,Hitchcock Sewell,5,5,"Hitchcock Sewell and his Aunt Billie, certified morticians in Baltimore, Maryland:",https://www.goodreads.com/series/68796-hitchcock-sewell
995,Matt Royal Mystery,10,10,Matt Royal is a retired attorney living on an island in Florida.,https://www.goodreads.com/series/52034-matt-royal-mystery
996,Butcher's Boy,3,3,"An anonymous hit-man, called Michael Schaeffer, in Las Vegas, Nevada, and later in England in the Butcher's Boy series:",https://www.goodreads.com/series/60393-butcher-s-boy
997,Elizabeth MacPherson,9,9,"Elizabeth MacPherson, forensic anthropologist in southern USA:",https://www.goodreads.com/series/41727-elizabeth-macpherson
998,Hart and Drake,4,5,"Gritty romantic suspense series set in Pittsburgh featuring ER physician Dr. Cassandra Hart, charming Detective Mickey Drake and the passion they share.",https://www.goodreads.com/series/62316-hart-and-drake
999,Bad Day,5,5,"Stella Hardesty, a 50-year-old widow who suffered domestic violence, running a sewing shop and helping other abused women, in a small town in Missouri:",https://www.goodreads.com/series/47096-bad-day
1000,Rainey Bell,6,9,Former FBI Special Agent Rainey Bell takes the reader along on the hunt for the monsters who live among us.,https://www.goodreads.com/series/91441-rainey-bell
1001,Ed Eagle,4,5,Ed Eagle is a lawyer working in Santa Fe (New Mexico).,https://www.goodreads.com/series/42538-ed-eagle
1002,Holly Barker,6,8,"Holly Barker is the Chief of Police of (fictional) Orchid Beach, Florida.",https://www.goodreads.com/series/42537-holly-barker
1003,Nightmare Hall,29,29,"Nightmare Hallis a spin-off series of the Point Horrorseries, written exclusively by Diane Hoh (unlike the main Point Horrorseries and its other spin-off, which were written by various authors.)",https://www.goodreads.com/series/49955-nightmare-hall
1004,Penny Parker Mystery Stories,17,20,The Penny Parker Mystery Stories were written by Mildred A. Wirt Benson and were published by Cupples and Leon from 1939 to 1947.,https://www.goodreads.com/series/44021-penny-parker-mystery-stories
1005,Sydney Bryant,5,5,"Sydney Bryant, a private investigator in San Diego, California:",https://www.goodreads.com/series/83479-sydney-bryant
1006,Henry Swann,4,4,"Henry Swann, a private investigator subsisting on skip-tracing, in Manhattan, New York City",https://www.goodreads.com/series/87193-henry-swann
1007,Glasgow Underworld Trilogy,3,3,"Frank MacLeod, an aging underground hit man in Glasgow, Scotland, in the Glasgow Trilogy:",https://www.goodreads.com/series/245109-glasgow-underworld-series
1008,Blue-Link,3,3,"What is BLUE-LINK? SHADOW is the first in a 3-book series featuring the adventures and romance of the employees of BLUE-LINK. BLUE-LINK is a fictional company that offers global risk management. If you are a business seeking to open a branch abroad there are factors to consider. Civil unrest, health epidemics...even the impact of nature. BLUE-LINK will be there to assess and advise. BLUE-LINK is run by the enigmatic, Amanda Newton, a woman whose signature accessory is a blue diamond. These are all standalone novels with no cliffhanger endings. SHADOW, MIST, and coming soon, DUSK.",https://www.goodreads.com/series/145186-blue-link
1009,Crossword Mysteries,12,13,"Annabella Graham, crossword puzzle editor for the Newcastle Evening Crier, and Rosco Polycrates, a private eye, in Newcastle, Massachusetts:",https://www.goodreads.com/series/43156-crossword-mysteries
1010,Paula Maguire,5,6,"Paula Maguire, Forensic psychologist, Northern Ireland",https://www.goodreads.com/series/125474-paula-maguire
1011,Shane Scully,11,15,"Shane Scully is a police sergeant in Los Angeles, California in these crime thrillers by Stephen J. Cannell. http://us.macmillan.com/series/ShaneScullyNovels",https://www.goodreads.com/series/52061-shane-scully
1012,"Liza, Bill & Jed Mysteries",6,6,"Age Group: 7 to 9 About the series: The McNellis children, twins Liza and Bill and their brother Jed, are young amateur sleuths who enjoy investigating mysteries.",https://www.goodreads.com/series/52092-liza-bill-jed-mysteries
1013,Vintage Kitchen Mystery,6,6,"Jaymie Leighton, a cookware and cookbook collector, living with her sister in an old house in Queensville, Michigan, across the St. Clair river from Ontario, Canada, in the Vintage Kitchen mysteries:",https://www.goodreads.com/series/69699-vintage-kitchen-mystery
1014,Dave Gurney,5,6,"Dave Gurney, a recently retired 40-something NYPD homicide detective with a reputation for catching serial killers, in rural upstate New York:",https://www.goodreads.com/series/62615-dave-gurney
1015,Hazel Micallef Mystery,4,4,Hazel Micallef is a Detective Inspector with the Ontario provencial police department.,https://www.goodreads.com/series/52684-hazel-micallef-mystery
1016,Sully Carter,3,3,"Sully Carter is an alcoholic veteran journalist injured during his time as a correspondent on the war in Bosnia and is now working as a Washington DC Metro reporter who always searches for the truth, no matter what the cost. The books take place in the late 90's - early 2000's, during the final years of real newspaper reporting.",https://www.goodreads.com/series/155402-sully-carter
1017,Modesty Blaise,13,13,"The novels and short stories by Peter O'Donnell. Not the newspaper strips, comics, or graphic novels. There is some continuity between the books and they are best read in the order below. The exception is the short story collection Cobra Trapwhich MUST be read LAST. You have been warned.",https://www.goodreads.com/series/40834-modesty-blaise
1018,Kate O'Donnell,6,6,"Kate O'Donnell, an aspiring photographer in 1960s London, England:",https://www.goodreads.com/series/83762-kate-o-donnell
1019,Special Tracking Unit,2,2,"Exploits of the FBI's Special Tracking Unit (STU)--a fictitious organization based in Bellingham, Washington.",https://www.goodreads.com/series/184195-special-tracking-unit
1020,Sarah Quinn,5,5,"Sarah Quinn, a detective inspector in Birmingham, England:",https://www.goodreads.com/series/72315-di-sarah-quinn
1021,Ben Reese,6,6,"Ben Reese is an archivist at an academic research institute near Oxford, England.",https://www.goodreads.com/series/52781-ben-reese
1022,Detective Superintendent Mark Pemberton,9,9,"Mark Pemberton, a Detective Superintendent in North Yorkshire, England: (Books 1 and 2 first published under Peter Walker)",https://www.goodreads.com/series/83152-detective-superintendent-mark-pemberton
1023,Max Freeman,7,7,"Max Freeman, a cop from Philly who shot and killed a 12 year-old, quit, and moved to the edge of the Florida Everglades:",https://www.goodreads.com/series/41789-max-freeman
